subject,age,gender,berry,sample,9pt_overall,us_overall,lms_overall
1032654,51-65,female,raspberry,6,6,10,38
1032654,51-65,female,raspberry,5,7,10,37
1032654,51-65,female,raspberry,2,8,10,-8
1032654,51-65,female,raspberry,3,9,14,12
1032654,51-65,female,raspberry,4,4,7,13
1032654,51-65,female,raspberry,1,7,6,37
1032659,36-50,female,raspberry,6,6,NA,12
1032659,36-50,female,raspberry,5,6,NA,45
1032659,36-50,female,raspberry,2,1,NA,75
1032659,36-50,female,raspberry,3,6,NA,73
1032659,36-50,female,raspberry,4,4,NA,74
1032659,36-50,female,raspberry,1,8,NA,13
1032669,51-65,male,raspberry,6,6,9,15
1032669,51-65,male,raspberry,5,6,6,0
1032669,51-65,male,raspberry,2,4,7,8
1032669,51-65,male,raspberry,3,6,8,10
1032669,51-65,male,raspberry,4,7,8,12
1032669,51-65,male,raspberry,1,3,9,13
1032700,36-50,female,raspberry,6,9,8,-10
1032700,36-50,female,raspberry,5,6,5,-11
1032700,36-50,female,raspberry,2,9,13,56
1032700,36-50,female,raspberry,3,8,11,-9
1032700,36-50,female,raspberry,4,6,5,11
1032700,36-50,female,raspberry,1,6,4,11
1032702,36-50,female,raspberry,6,8,NA,97
1032702,36-50,female,raspberry,5,4,NA,54
1032702,36-50,female,raspberry,2,8,NA,99
1032702,36-50,female,raspberry,3,9,NA,55
1032702,36-50,female,raspberry,4,9,NA,66
1032702,36-50,female,raspberry,1,8,NA,84
1032721,36-50,female,raspberry,6,7,NA,NA
1032721,36-50,female,raspberry,5,7,NA,NA
1032721,36-50,female,raspberry,2,6,NA,NA
1032721,36-50,female,raspberry,3,7,NA,NA
1032721,36-50,female,raspberry,4,9,NA,NA
1032721,36-50,female,raspberry,1,6,NA,NA
1032743,21-35,male,raspberry,6,6,3,NA
1032743,21-35,male,raspberry,5,3,5,NA
1032743,21-35,male,raspberry,2,8,4,NA
1032743,21-35,male,raspberry,3,3,10,NA
1032743,21-35,male,raspberry,4,7,11,NA
1032743,21-35,male,raspberry,1,8,1,NA
1032758,21-35,female,raspberry,6,9,12,NA
1032758,21-35,female,raspberry,5,6,11,NA
1032758,21-35,female,raspberry,2,8,8,NA
1032758,21-35,female,raspberry,3,8,13,NA
1032758,21-35,female,raspberry,4,7,8,NA
1032758,21-35,female,raspberry,1,6,8,NA
1032801,36-50,female,raspberry,6,7,6,NA
1032801,36-50,female,raspberry,5,4,6,NA
1032801,36-50,female,raspberry,2,7,10,NA
1032801,36-50,female,raspberry,3,4,8,NA
1032801,36-50,female,raspberry,4,9,9,NA
1032801,36-50,female,raspberry,1,4,5,NA
1032823,51-65,female,raspberry,6,6,8,27
1032823,51-65,female,raspberry,5,6,8,73
1032823,51-65,female,raspberry,2,4,11,61
1032823,51-65,female,raspberry,3,8,11,15
1032823,51-65,female,raspberry,4,8,14,-14
1032823,51-65,female,raspberry,1,4,2,36
1032369,51-65,female,raspberry,6,7,7,NA
1032369,51-65,female,raspberry,5,8,5,NA
1032369,51-65,female,raspberry,2,8,13,NA
1032369,51-65,female,raspberry,3,9,10,NA
1032369,51-65,female,raspberry,4,8,11,NA
1032369,51-65,female,raspberry,1,8,9,NA
1034564,36-50,female,raspberry,6,9,NA,NA
1034564,36-50,female,raspberry,5,9,NA,NA
1034564,36-50,female,raspberry,2,8,NA,NA
1034564,36-50,female,raspberry,3,9,NA,NA
1034564,36-50,female,raspberry,4,9,NA,NA
1034564,36-50,female,raspberry,1,8,NA,NA
1033714,21-35,female,raspberry,6,8,9,NA
1033714,21-35,female,raspberry,5,7,8,NA
1033714,21-35,female,raspberry,2,7,6,NA
1033714,21-35,female,raspberry,3,6,8,NA
1033714,21-35,female,raspberry,4,6,11,NA
1033714,21-35,female,raspberry,1,8,6,NA
1514628,36-50,male,raspberry,6,7,10,-50
1514628,36-50,male,raspberry,5,7,5,13
1514628,36-50,male,raspberry,2,8,8,66
1514628,36-50,male,raspberry,3,8,9,-3
1514628,36-50,male,raspberry,4,5,3,0
1514628,36-50,male,raspberry,1,3,4,-9
1032642,51-65,female,raspberry,6,1,10,NA
1032642,51-65,female,raspberry,5,5,0,NA
1032642,51-65,female,raspberry,2,7,10,NA
1032642,51-65,female,raspberry,3,4,7,NA
1032642,51-65,female,raspberry,4,9,15,NA
1032642,51-65,female,raspberry,1,2,1,NA
1033784,51-65,female,raspberry,3,7,NA,36
1033784,51-65,female,raspberry,1,7,NA,36
1033784,51-65,female,raspberry,4,7,NA,76
1033784,51-65,female,raspberry,2,6,NA,58
1033784,51-65,female,raspberry,6,9,NA,74
1033784,51-65,female,raspberry,5,9,NA,72
1032783,51-65,female,raspberry,3,7,3,NA
1032783,51-65,female,raspberry,1,3,3,NA
1032783,51-65,female,raspberry,4,6,5,NA
1032783,51-65,female,raspberry,2,1,10,NA
1032783,51-65,female,raspberry,6,2,4,NA
1032783,51-65,female,raspberry,5,2,7,NA
1033803,21-35,male,raspberry,3,5,NA,1
1033803,21-35,male,raspberry,1,5,NA,44
1033803,21-35,male,raspberry,4,4,NA,35
1033803,21-35,male,raspberry,2,6,NA,1
1033803,21-35,male,raspberry,6,6,NA,-19
1033803,21-35,male,raspberry,5,2,NA,51
1033827,51-65,other,raspberry,3,6,8,40
1033827,51-65,other,raspberry,1,5,9,57
1033827,51-65,other,raspberry,4,5,11,74
1033827,51-65,other,raspberry,2,3,9,55
1033827,51-65,other,raspberry,6,5,8,10
1033827,51-65,other,raspberry,5,7,6,36
1032790,51-65,female,raspberry,3,9,NA,NA
1032790,51-65,female,raspberry,1,8,NA,NA
1032790,51-65,female,raspberry,4,9,NA,NA
1032790,51-65,female,raspberry,2,8,NA,NA
1032790,51-65,female,raspberry,6,9,NA,NA
1032790,51-65,female,raspberry,5,9,NA,NA
1033848,21-35,female,raspberry,3,4,8,35
1033848,21-35,female,raspberry,1,6,6,11
1033848,21-35,female,raspberry,4,4,10,36
1033848,21-35,female,raspberry,2,6,7,12
1033848,21-35,female,raspberry,6,6,9,12
1033848,21-35,female,raspberry,5,6,11,24
1033852,36-50,female,raspberry,3,7,12,86
1033852,36-50,female,raspberry,1,1,4,-22
1033852,36-50,female,raspberry,4,2,13,11
1033852,36-50,female,raspberry,2,6,10,-99
1033852,36-50,female,raspberry,6,7,11,52
1033852,36-50,female,raspberry,5,2,11,-87
1033870,36-50,female,raspberry,3,4,8,57
1033870,36-50,female,raspberry,1,6,6,-32
1033870,36-50,female,raspberry,4,7,9,-12
1033870,36-50,female,raspberry,2,6,13,57
1033870,36-50,female,raspberry,6,5,6,12
1033870,36-50,female,raspberry,5,5,5,-30
1033872,21-35,female,raspberry,3,5,5,56
1033872,21-35,female,raspberry,1,3,10,11
1033872,21-35,female,raspberry,4,6,10,10
1033872,21-35,female,raspberry,2,7,11,12
1033872,21-35,female,raspberry,6,8,11,55
1033872,21-35,female,raspberry,5,7,8,36
1033887,21-35,female,raspberry,3,8,8,56
1033887,21-35,female,raspberry,1,4,13,57
1033887,21-35,female,raspberry,4,8,6,57
1033887,21-35,female,raspberry,2,6,12,-9
1033887,21-35,female,raspberry,6,8,8,55
1033887,21-35,female,raspberry,5,6,11,56
1033920,36-50,female,raspberry,3,7,11,74
1033920,36-50,female,raspberry,1,4,6,55
1033920,36-50,female,raspberry,4,9,8,10
1033920,36-50,female,raspberry,2,4,7,55
1033920,36-50,female,raspberry,6,6,9,74
1033920,36-50,female,raspberry,5,8,11,55
1033955,36-50,female,raspberry,3,5,9,37
1033955,36-50,female,raspberry,1,4,6,-10
1033955,36-50,female,raspberry,4,6,10,36
1033955,36-50,female,raspberry,2,4,6,12
1033955,36-50,female,raspberry,6,3,7,12
1033955,36-50,female,raspberry,5,4,6,74
1034016,51-65,female,raspberry,3,6,14,56
1034016,51-65,female,raspberry,1,4,13,75
1034016,51-65,female,raspberry,4,6,10,11
1034016,51-65,female,raspberry,2,4,10,-9
1034016,51-65,female,raspberry,6,8,12,57
1034016,51-65,female,raspberry,5,3,9,56
1034051,21-35,female,raspberry,3,3,10,12
1034051,21-35,female,raspberry,1,3,13,76
1034051,21-35,female,raspberry,4,1,3,84
1034051,21-35,female,raspberry,2,3,5,-21
1034051,21-35,female,raspberry,6,7,11,54
1034051,21-35,female,raspberry,5,4,14,11
1034085,36-50,male,raspberry,3,3,NA,73
1034085,36-50,male,raspberry,1,7,NA,-9
1034085,36-50,male,raspberry,4,8,NA,56
1034085,36-50,male,raspberry,2,2,NA,55
1034085,36-50,male,raspberry,6,8,NA,55
1034085,36-50,male,raspberry,5,4,NA,-4
1032859,21-35,female,raspberry,3,7,NA,NA
1032859,21-35,female,raspberry,1,7,NA,NA
1032859,21-35,female,raspberry,4,7,NA,NA
1032859,21-35,female,raspberry,2,7,NA,NA
1032859,21-35,female,raspberry,6,6,NA,NA
1032859,21-35,female,raspberry,5,8,NA,NA
1034127,36-50,female,raspberry,3,7,13,55
1034127,36-50,female,raspberry,1,3,5,11
1034127,36-50,female,raspberry,4,3,5,11
1034127,36-50,female,raspberry,2,8,7,54
1034127,36-50,female,raspberry,6,8,5,0
1034127,36-50,female,raspberry,5,3,6,56
1034217,51-65,female,raspberry,3,5,NA,-9
1034217,51-65,female,raspberry,1,5,NA,-32
1034217,51-65,female,raspberry,4,5,NA,-3
1034217,51-65,female,raspberry,2,5,NA,3
1034217,51-65,female,raspberry,6,5,NA,2
1034217,51-65,female,raspberry,5,5,NA,13
1034219,36-50,male,raspberry,3,3,12,57
1034219,36-50,male,raspberry,1,7,10,-9
1034219,36-50,male,raspberry,4,7,10,54
1034219,36-50,male,raspberry,2,4,11,56
1034219,36-50,male,raspberry,6,3,12,56
1034219,36-50,male,raspberry,5,7,11,12
1034234,21-35,female,raspberry,3,8,14,49
1034234,21-35,female,raspberry,1,9,7,74
1034234,21-35,female,raspberry,4,3,6,44
1034234,21-35,female,raspberry,2,5,9,-1
1034234,21-35,female,raspberry,6,2,12,74
1034234,21-35,female,raspberry,5,9,12,-57
1034246,21-35,female,raspberry,3,8,10,96
1034246,21-35,female,raspberry,1,3,4,44
