subject,age,gender,berry,sample,percent_shopping,lms_appearance,lms_overall,lms_taste,lms_texture,lms_aroma,cata_taste_floral,cata_taste_berry,cata_taste_grassy,cata_taste_fermented,cata_taste_fruity,cata_taste_citrus,cata_taste_earthy,cata_taste_none,cata_taste_peachy,cata_taste_caramel,cata_taste_grapey,cata_taste_melon,cata_taste_cherry
1032859,21-35,female,strawberry,5,50-74%,-11,75,74,34,12,0,1,0,0,0,0,1,0,0,0,0,0,0
1034103,36-50,female,strawberry,4,50-74%,35,17,33,-20,23,0,1,1,0,1,0,1,0,0,0,0,0,0
1034103,36-50,female,strawberry,1,50-74%,34,74,74,76,74,0,1,0,0,1,0,0,0,0,0,0,0,0
1034103,36-50,female,strawberry,2,50-74%,28,12,10,37,13,0,1,1,0,1,0,0,0,0,0,0,0,0
1034103,36-50,female,strawberry,6,50-74%,10,35,36,46,50,0,1,0,0,1,0,0,0,0,0,0,0,0
1034103,36-50,female,strawberry,3,50-74%,71,66,70,74,76,0,1,1,1,1,0,0,0,0,0,0,0,0
1034103,36-50,female,strawberry,5,50-74%,55,62,65,66,37,0,1,0,0,1,0,0,0,0,0,0,0,0
1034127,36-50,female,strawberry,4,75-100%,-8,27,4,40,-3,1,0,0,0,0,0,0,0,0,0,0,0,0
1034127,36-50,female,strawberry,1,75-100%,-28,60,60,-10,57,0,1,0,0,0,0,0,0,0,0,0,0,0
1034127,36-50,female,strawberry,2,75-100%,-26,-32,-32,-55,-36,0,0,0,0,0,0,0,1,0,0,0,0,0
1034127,36-50,female,strawberry,6,75-100%,2,-10,-16,-19,-12,0,0,0,0,0,0,1,0,0,0,0,0,0
1034127,36-50,female,strawberry,3,75-100%,-15,-5,-10,-1,-28,0,0,0,0,0,0,1,0,0,0,0,0,0
1034127,36-50,female,strawberry,5,75-100%,48,54,72,47,41,0,1,0,0,0,0,0,0,0,0,0,0,0
1034219,36-50,male,strawberry,4,75-100%,36,-11,-10,-31,-1,0,0,1,0,0,0,0,0,0,0,0,0,0
1034219,36-50,male,strawberry,1,75-100%,11,12,12,-32,34,0,1,1,1,0,0,1,0,0,0,0,0,0
1034219,36-50,male,strawberry,2,75-100%,-33,-31,-32,-32,11,0,0,1,1,0,0,1,0,0,0,0,0,0
1034219,36-50,male,strawberry,6,75-100%,-32,-57,-57,-56,-11,0,0,1,1,0,0,1,0,0,0,0,0,0
1034219,36-50,male,strawberry,3,75-100%,-9,-32,-32,-31,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1034219,36-50,male,strawberry,5,75-100%,36,11,11,11,13,0,0,1,0,0,0,0,0,0,0,0,0,0
1034234,21-35,female,strawberry,4,75-100%,42,2,9,-23,-1,0,0,0,0,0,0,0,1,0,0,0,0,0
1034234,21-35,female,strawberry,1,75-100%,21,66,80,70,94,0,0,0,0,0,0,0,0,1,0,0,0,0
1034234,21-35,female,strawberry,2,75-100%,-18,74,77,73,98,0,1,0,0,1,0,0,0,0,0,0,0,0
1034234,21-35,female,strawberry,6,75-100%,28,-22,-10,-80,4,0,0,0,0,0,0,1,0,0,0,0,0,0
1034234,21-35,female,strawberry,3,75-100%,14,-69,-78,41,64,0,0,0,0,0,0,1,0,0,0,0,0,0
1034234,21-35,female,strawberry,5,75-100%,-80,31,27,54,3,0,1,0,0,1,0,0,0,0,0,0,0,0
1034246,21-35,female,strawberry,4,75-100%,18,-8,-4,37,1,0,0,1,0,0,0,1,0,0,0,0,0,0
1034246,21-35,female,strawberry,1,75-100%,-11,57,57,-10,72,1,1,0,0,1,0,0,0,0,0,0,0,0
1034246,21-35,female,strawberry,2,75-100%,37,13,0,57,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1034246,21-35,female,strawberry,6,75-100%,48,13,4,54,7,0,0,1,1,0,0,0,0,0,0,0,1,0
1034246,21-35,female,strawberry,3,75-100%,81,81,55,72,-1,1,1,0,0,1,0,0,0,1,0,1,0,0
1034246,21-35,female,strawberry,5,75-100%,22,61,29,34,10,0,1,0,0,1,0,0,0,0,0,1,0,1
1034400,51-65,female,strawberry,4,75-100%,5,25,17,17,12,1,0,1,0,0,0,1,0,0,0,0,0,0
1034400,51-65,female,strawberry,1,75-100%,27,-46,-45,0,35,1,0,1,1,0,0,0,0,0,0,0,0,0
1034400,51-65,female,strawberry,2,75-100%,14,-5,-10,-10,31,0,0,1,1,0,0,1,0,0,0,0,0,0
1034400,51-65,female,strawberry,6,75-100%,-22,-33,-55,-43,12,0,0,1,1,0,0,1,0,0,0,0,0,0
1034400,51-65,female,strawberry,3,75-100%,54,47,46,26,35,0,1,0,0,1,0,0,0,0,0,0,0,0
1034400,51-65,female,strawberry,5,75-100%,22,11,15,30,2,0,0,1,0,0,0,1,0,0,0,0,0,0
1034381,36-50,female,strawberry,4,75-100%,58,61,59,55,66,1,1,0,0,1,1,0,0,0,0,0,0,0
1034381,36-50,female,strawberry,1,75-100%,47,63,46,46,60,1,1,0,0,1,1,0,0,0,0,0,0,0
1034381,36-50,female,strawberry,2,75-100%,38,46,34,34,70,0,0,0,0,1,0,1,0,0,0,0,0,0
